320,"[4.738531262670117, 1.4092919236883144, 0.033528253416755104, 0.7387416480567641, 3.585288351484592, 2.1306600499576667, 0.19762089765200896, 0.3447158676348152, 2.561394533602057]"
321,"[3.232512685327171, 0.6168389499907629, 0.06518532697946679, 1.645998463955966, 4.2846135783599815, 1.1052868413421206, 0.00436234958361785, 0.9790136391834152, 3.97042656253392]"
322,"[1.9924842828953653, 0.15117299969569303, 0.4330777305682264, 2.8699862385866286, 2.8132843760463824, 0.4318653503344226, 0.13202790957496682, 1.8638933538608617]"
323,"[4.227031416599857, 1.0597102047128957, 0.006146198632126192, 1.1036788976839518, 4.404059827033128, 1.692892126382148, 0.08258406203069067, 0.5192509597319218, 2.950902324418305]"
324,"[2.867825506109862, 0.4370066439315779, 0.1531953228659644, 2.057281077713048, 3.865569666716742, 0.9036912890667487, 0.004486149954553018, 1.108503764899854, 4.190136196587724]"
325,"[1.8115496815996823, 0.1008063902900871, 0.5624903086428165, 3.2674885801345654, 2.681912650165408, 0.4026625513562764, 0.1350965154992025, 1.8498547147744104]"
326,"[4.20387764915948, 1.0297315685935127, 0.012173490661581741, 1.2209196815549797, 4.74123702749035, 1.7919531423138624, 0.11801745086275059, 0.43113681819169325, 2.724445154707081]"
327,"[2.9903650982725996, 0.4707332204964904, 0.16011796915264834, 2.1415467491917686, 4.2192973963625775, 1.11742250962312, 0.007367201772498735, 0.8758965682149815, 3.7344221698144047]"
328,"[1.9915658691998237, 0.13259626267251476, 0.545750392214047, 3.3002688155130944, 3.1900920388617067, 0.6295800318865877, 0.046044339091653695, 1.449583190910443, 4.8350560705299115]"
329,"[4.640800728025564, 1.200799751031071, 0.012550790085482011, 1.1533963231366788, 4.676591522447038, 2.362362383200031, 0.29592639615499383, 0.21349068807845123, 2.1156530027127904]"
330,"[3.4436679185595294, 0.6163054647883257, 0.10544034203958288, 1.9641101154859084, 1.7010287337282932, 0.09761358860627728, 0.4814972213523773, 2.8432768977550373]"
331,"[2.442018992860608, 0.23925518017467323, 0.3927961285436983, 2.953516672136956, 4.3465797509939605, 1.1853475695222169, 0.014073698196818194, 0.8228264634330147, 3.6027285481648255]"
332,"[1.6372086866161293, 0.04820547103152051, 0.8551046632689345, 4.109998913027958, 3.557738735748704, 0.7972604953496205, 0.01893982279750836, 1.2144997980580257, 4.381199670597786]"
333,"[4.366833146200329, 1.0045007561400845, 0.02662086968620969, 1.483269139992744, 2.901518286601446, 0.5080562113279302, 0.0912534128437727, 1.6453758084270338]"
334,"[3.3346890037296286, 0.5384267278837138, 0.16296220120834393, 2.2609490414104623, 2.362462725695204, 0.30287303660246956, 0.21399102625532074, 2.095597797881534]"
335,"[2.4628333542694834, 0.22444760377657666, 0.44696625191029327, 3.168509539267624, 1.9220503234465314, 0.16252486636084426, 0.3740704305538771, 2.551483834285997]"
336,"[1.745786727664295, 0.055478737799232826, 0.8573311093387055, 4.161303024779832, 1.568652963316225, 0.07688947299437592, 0.5534492256188643, 2.981906185119986]"
337,"[4.7946959672306395, 1.1634097129214054, 0.017296309278992075, 1.373301175756115, 4.500606609802103, 1.2804366424808473, 0.031055098041774743, 0.7396160433737726, 3.387595951391922]"
338,"[3.8340710442639954, 0.7135514442359293, 0.09514478984605242, 1.9754117780617337, 4.047996737615631, 1.049261487151236, 0.014590136325470168, 0.924967922914323, 3.775780611418306]"
339,"[3.009792247816478, 0.38927786055578134, 0.27002584734138974, 2.6546085256107057, 3.672028754342826, 0.8696530743008706, 0.01802552887787129, 1.1057001865611606, 4.138360233785019]"
340,"[2.3313180352877434, 0.17821159596942107, 0.5241806076803137, 3.382309586345663, 3.3822318156251012, 0.7383144566542483, 0.03254947705831416, 1.2694078305490828, 4.444041134747192]"
341,"[1.7832289884741936, 0.05801213597937805, 0.8421134788298866, 4.13614695279069, 3.1684153064659473, 0.6406103207375569, 0.052996987186666414, 1.4066120461156613, 4.6877672655721785]"
342,"[1.3267366047857267, 0.013130921421651703, 1.2115158476295587, 4.914023334046288, 2.9958022583862958, 0.5628863237992664, 0.07469043122748316, 1.5189739986118602, 4.88458040246549]"
343,"[4.375208172331994, 0.9475924617023734, 0.03404318576446987, 1.627024254779691, 2.8466582993122675, 0.5023157279440151, 0.09541399555492064, 1.6129218285012656]"
344,"[3.686809199766867, 0.6448050466423827, 0.11176392679914221, 2.0846426513197467, 2.7305140533179046, 0.4578396897624788, 0.11266306648095069, 1.690484426344525]"
345,"[3.102440774081106, 0.4171690973443759, 0.23654332489570806, 2.5603963614052665, 2.6641033455084564, 0.4333054848613203, 0.12426945443165098, 1.7405998871441422]"
346,"[2.595174075610459, 0.245546276921584, 0.40204004006092886, 3.057235989672766, 2.6264126647413146, 0.41689333059351763, 0.13223367874925396, 1.7680370389864417]"
347,"[2.154446209782036, 0.12606789674153931, 0.5988459865914251, 3.555249197787245, 2.611178061497798, 0.41007576812158325, 0.132723462935013, 1.7654045371706075]"
348,"[1.767329916066718, 0.049716581532246534, 0.8229525270379191, 4.073815613832193, 2.6079277372243905, 0.41055390665553754, 0.12907999467008982, 1.748763568372813]"
349,"[1.430163221490655, 0.012590551277940815, 1.0744693072414595, 4.619561753274171, 2.620561791589684, 0.4181935968662906, 0.1216624192936756, 1.7271835795039063]"
350,"[4.76802137077354, 1.1483054472248915, 0.009873642604936587, 1.3517836352193717, 2.6587481430041335, 0.43604702144986784, 0.11194225672762195, 1.6937324148355808]"
351,"[4.260983466069787, 0.9103798846576596, 0.037231040736057645, 1.6442839015079678, 2.723330100892301, 0.4592326305840285, 0.10000216345265382, 1.6402174036983619]"
352,"[3.795158355576789, 0.7024209039933528, 0.0925169714202807, 1.9481425625070072, 2.789673087343738, 0.4854562750047572, 0.08597384276381581, 1.5643357845719146, 4.887184013987631]"
353,"[3.3421658011635382, 0.5207418586705752, 0.1743475935878812, 2.2670372122361737, 2.8471405841052975, 0.5127974710967962, 0.07060355802240287, 1.48387852031616, 4.733731159593882]"
354,"[2.91246817592373, 0.3714828711303418, 0.28040705127304916, 2.621506545847093, 2.902492380096443, 0.5461634845545323, 0.05622245672441297, 1.4074760031316809, 4.595566766946583]"
355,"[2.535142850170396, 0.25731562475168873, 0.4117977225352393, 2.9955704223007196, 2.987658645178879, 0.5918147685123085, 0.04178175912567193, 1.3288746608286097, 4.429706997618816]"
356,"[2.211312454592571, 0.1704773900024657, 0.56085360860541, 3.355319867939047, 3.10866206900053, 0.6499698865896004, 0.028639289667924162, 1.2321517676739462, 4.209506963432493]"
357,"[1.9163756777471865, 0.10925846974099462, 0.7180996710278548, 3.683045561184271, 3.247124898432594, 0.7138242286948782, 0.01648716762459331, 1.1137338875537164, 3.954214996065874]"
358,"[1.6386525519608426, 0.06970263512368802, 0.8810062213067295, 4.006864777921762, 3.3753306523672775, 0.7839266254052251, 0.0077647956786476855, 0.9914464573751302, 3.6873702882310617]"
359,"[1.3858639847469933, 0.05165629531468105, 1.0489630183434524, 4.302740698322259, 3.5125289734169294, 0.8701523267722336, 0.004121859921634697, 0.8675166833632721, 3.4185392575261666]"
360,"[4.650439477329539, 1.176440061448764, 0.050867012725575325, 1.2070937508941255, 4.574905665615964, 3.6826449060228583, 0.9718506448824357, 0.007622370353888537, 0.7447640911848128, 3.13401464024853]"
361,"[4.2432839251444445, 1.0001835516153714, 0.06410263375781662, 1.360242202240287, 4.812718552920682, 3.879525758961952, 1.0921615579389712, 0.01981512866496659, 0.619328913596076, 2.8344041309241774]"
362,"[3.8735886086076867, 0.8536486539313216, 0.08648287596213518, 1.5017391903507675, 4.100841027014629, 1.2263451854941876, 0.043379728708114886, 0.49620882049998705, 2.517407005552876]"
363,"[3.5463208106796595, 0.7266395102175135, 0.11529096148947461, 1.6245111499936202, 4.336227744893288, 1.3802179189403538, 0.0800887427828545, 0.3762744055601098, 2.1986486498633004]"
364,"[3.253795092650965, 0.6271685104570535, 0.14722202440818644, 1.738893584163661, 4.598046813872416, 1.5546694015244433, 0.13537431833650174, 0.2660877837679691, 1.8893109345109256, 4.953592047987624]"
365,"[3.001324370639904, 0.5442449559899297, 0.1809692127117012, 1.8503438917518422, 4.886649316434742, 1.7622869763533187, 0.21161308709110138, 0.17213699526078802, 1.5933102672307358, 4.424058051290978]"
366,"[2.7961792527178617, 0.4806732513723715, 0.21303226650464596, 1.9418492990316958, 2.014160824853155, 0.31434046401300525, 0.0947497841319191, 1.3034326978219963, 3.8797365781113773]"
367,"[2.6277681996385907, 0.42799538944007337, 0.24333164897577642, 2.0067760196360873, 2.3047698305273605, 0.44857102196041626, 0.03927801211735, 1.0222730113297256, 3.3337317511004723]"
368,"[2.4764854436866304, 0.3847314758496904, 0.26545598873335585, 2.0424478744487264, 2.6384360532530513, 0.6166620496576349, 0.011754021739480723, 0.7604004212067977, 2.8005065675507184]"
369,"[2.345881774362679, 0.35388240414359723, 0.2813640926693372, 2.0575181503608726, 3.009241546845136, 0.8248035442974374, 0.018836445804699297, 0.5273524778421821, 2.283191265075706]"
370,"[2.2338410616716664, 0.32572987817705323, 0.2923125805477158, 2.0350972428520677, 3.4255623114149034, 1.0767197492844425, 0.06519030118479632, 0.3290385359693329, 1.7822245360631193, 4.34386463389393]"
371,"[2.128245264653343, 0.3027144522437923, 0.2905681460340621, 1.98169065171417, 3.88672016947137, 1.3699051043707948, 0.15621463988335935, 0.17100148204831253, 1.3269164949665253, 3.561560721442388]"
372,"[2.0179808903361227, 0.28153819173370676, 0.28347877900550383, 1.9417941342415284, 4.3598786901785775, 1.6944914214759503, 0.29602679009608596, 0.07081397344450313, 0.9485043561206601, 2.8802022674680123]"
373,"[1.9353301619715173, 0.2679463233083418, 0.27672087356801434, 1.9130311730290794, 4.8768469464492, 2.0817425940239196, 0.491630410428816, 0.02830561448191142, 0.6373711932249333, 2.277168150689183, 4.875563280215931]"
